,count,mean,std,min,25%,50%,75%,max
CustomerID,4338.0,15300.408022130014,1721.8084917653168,12346.0,13813.25,15299.5,16778.75,18287.0
Recency,4338.0,92.53642231443061,100.01416863571656,1.0,18.0,51.0,142.0,374.0
Frequency,4338.0,4.272014753342554,7.697997826095039,1.0,1.0,2.0,5.0,209.0
Monetary,4338.0,2048.688080682342,8985.230220008294,3.75,306.48249999999996,668.57,1660.5975,280206.02
Customer_Lifetime_Days,4338.0,131.4485938220378,132.03955416312755,1.0,1.0,93.5,252.75,374.0
Purchase_Velocity,4338.0,0.40669481336450153,0.5716360903421999,0.00546448087431694,0.020234139149563547,0.04608998539553119,1.0,17.0
Spend_Velocity,4338.0,175.99449497208678,1379.2736736520583,0.11112462006079028,5.915678963893249,16.629003062707643,174.70000000000002,77183.6
Purchase_Interval_Mean,4338.0,47.34114916026539,63.18301038236254,0.0,0.0,28.0,68.0,365.0
Purchase_Interval_Std,4338.0,19.19072321590478,31.862067204282113,0.0,0.0,0.0,28.362974662659514,242.5376259469858
Purchase_Interval_Max,4338.0,70.18142000922084,78.157630613201,0.0,0.0,51.0,114.0,365.0
Purchase_Regularity_Index,4338.0,0.5611035749700019,0.47654646408612655,0.004106141694169606,0.03405649507129751,1.0,1.0,1.0
Invoice_Value_Mean,4338.0,417.6457348818341,1796.5113429217033,3.45,177.86708333333334,291.94,428.28062500000004,84236.25
Invoice_Value_Std,4338.0,167.66957200764554,1868.0766718078635,0.0,0.0,56.20568903968217,157.39266158276791,119123.94597411975
Invoice_Value_Max,4338.0,653.6482508068234,3089.244096407022,3.75,221.6625,366.17,618.1925000000001,168469.6
Invoice_Value_Min,4338.0,262.3719207007838,1215.0893679817304,0.38,91.8125,168.04,308.01,77183.6
Invoice_Value_CV,4338.0,0.3185843374695447,0.34091003378369256,0.0,0.0,0.2533665192517577,0.5368336936330022,2.3803488755749838
Invoice_Value_Range,4338.0,391.2763301060397,2847.3706185215997,0.0,0.0,109.59,365.8,168466.7
Spending_Momentum,4338.0,18.51889967557573,2593.6698676514293,-8818.26,-45.808159722222236,0.0,22.239226190476188,168466.7
Spending_Momentum_Ratio,4338.0,14.33193843684625,882.0429519048522,0.0,0.0,0.6428621089783456,1.0911211723579366,58092.965517241384
Avg_Products_Per_Invoice,4338.0,21.513573449391547,19.075822289350533,1.0,9.375,16.83974358974359,27.642857142857146,298.8235294117647
Std_Products_Per_Invoice,4338.0,7.328181415252539,11.229701708769024,0.0,0.0,3.5355339059327378,10.263202878893768,193.5533632148114
Avg_Quantity_Per_Invoice,4338.0,252.46289248947517,1312.76933657308,1.0,92.0,161.0,270.0,74215.0
