Bootstrap_Run,Cluster_0_Size,Cluster_1_Size,Cluster_2_Size,Cluster_3_Size
1,658,1534,613,665
2,1551,609,680,630
3,643,688,621,1518
4,1526,687,653,604
5,695,1506,648,621
6,639,1554,594,683
7,658,560,672,1580
8,606,635,689,1540
9,1549,644,649,628
10,569,624,679,1598
11,673,1555,581,661
12,1570,676,636,588
13,1532,641,676,621
14,1580,622,659,609
15,676,1481,656,657
16,593,1569,708,600
17,577,1557,697,639
18,714,1543,627,586
19,584,1537,625,724
20,1570,667,606,627
21,1538,634,608,690
22,623,1522,620,705
23,623,675,1557,615
24,1559,639,588,684
25,615,593,681,1581
26,1547,695,620,608
27,660,611,1512,687
28,614,692,626,1538
29,592,582,1632,664
30,1541,621,677,631
31,650,1579,606,635
32,647,1548,673,602
33,665,703,1526,576
34,1547,632,673,618
35,597,1533,644,696
36,1527,607,749,587
37,1581,633,632,624
38,588,1593,582,707
39,671,1543,611,645
40,1531,680,658,601
41,1580,667,637,586
42,1538,733,581,618
43,1548,633,608,681
44,578,1574,677,641
45,605,1540,666,659
46,685,1605,578,602
47,675,1559,612,624
48,573,1575,595,727
49,1523,635,609,703
50,1548,712,610,600
