Feature,Missing,Unique,Variance
Monetary,0,4246,280202.27
Spending_Momentum,0,2825,177284.96000000002
Invoice_Value_Range,0,2801,168466.7
Invoice_Value_Max,0,4176,168465.85
Invoice_Value_Std,0,2834,119123.94597411976
Invoice_Value_Mean,0,4259,84232.8
Spend_Velocity,0,4284,77183.48887537995
Invoice_Value_Min,0,3676,77183.22
Avg_Quantity_Per_Invoice,0,2130,74214.0
Spending_Momentum_Ratio,0,2834,58092.96551724138
Recency,0,349,373.0
Customer_Lifetime_Days,0,374,373.0
Purchase_Interval_Mean,0,1231,365.0
Purchase_Interval_Max,0,332,365.0
Avg_Products_Per_Invoice,0,1014,297.8235294117647
Purchase_Interval_Std,0,1667,242.5376259469858
Std_Products_Per_Invoice,0,1708,126.07713034334074
Frequency,0,59,59.24551004865278
Purchase_Velocity,0,1237,0.32669249294451386
Purchase_Regularity_Index,0,1658,0.2270441819183673
Invoice_Value_CV,0,2837,0.1161928600668248
