Feature,Variance
Monetary,280202.27
Spending_Momentum,177284.96000000002
Invoice_Value_Range,168466.7
Invoice_Value_Max,168465.85
Invoice_Value_Std,119123.94597411976
Invoice_Value_Mean,84232.8
Spend_Velocity,77183.48887537995
Invoice_Value_Min,77183.22
Avg_Quantity_Per_Invoice,74214.0
Spending_Momentum_Ratio,58092.96551724138
Recency,373.0
Customer_Lifetime_Days,373.0
Purchase_Interval_Mean,365.0
Purchase_Interval_Max,365.0
Avg_Products_Per_Invoice,297.8235294117647
Purchase_Interval_Std,242.5376259469858
Std_Products_Per_Invoice,126.07713034334074
Frequency,59.24551004865278
Purchase_Velocity,0.32669249294451386
Purchase_Regularity_Index,0.2270441819183673
Invoice_Value_CV,0.1161928600668248
